id,entityName,registerDateMinistry,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,,,
1,Polska Kompania Doradcza Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Ministerstwo Sprawiedliwości,Nie,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,Pleon Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Majchrzak Krzysztof,b.d.,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Tak,Krzysztof Majchrzak,Sekcja Ratująca Międzyszkolny Ośrodek Sportowy nr 5 w Instytucie Reumatologii,7/2/2011,26/4/2011,Działalność na rzecz ratowania Międzyszkolnego Ośrodka Sportowego nr 5 w Instytucje Reumatologii w Warszawie,,,,,,,,,,1,,,,,,,,1,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting Sp. z o.o.; Allami Nyomda,19/4/2011,13/7/2011,"Promocja nowoczesnych rozwiązań informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego,bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów osobistych, m.in. na rzecz firmy Trusted Information Consulting oraz Allami Nyomda",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting Sp. z o.o.,23/9/2011,31/12/2011,"Promocja nowoczesnych rozwiązań informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego,bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów identyfikacyjnych, m.in. na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting,2/1/2015,31/12/2015,"Działania konsultingowe, promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwiązań IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting,15/1/2016,31/12/2016,"Działania konsultingowe, promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwiązań IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów identyfikacyjnych",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting,18/1/2018,31/12/2018,"Działania na rzecz nowoczesnych rozwiązań informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting.",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,2006-05-05,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Tak,Sławomir Cieśliński,Trusted Information Consulting,21/2/2017,31/12/2017,"Działania konsultingowe,promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwiązań IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeństwa rozwiązań informatycznych, zabezpieczeń dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
45,Izba Gospodarcza Energetyki I Ochrony Środowiska,2006-05-11,Nie,Nie dotyczy,Ministerstwo Spraw Wewnętrznych i Administracji,Nie,,,,,,1,,,,,,,,,,,,,,,,,,,,
46,Towarzystwo Gospodarcze Polskie Elektrownie,2006-05-11,Nie,Nie dotyczy,"Ministerstwo Finansów, Ministerstwo Środowiska",Nie,,,,,,,,,1,,,,1,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Łukasz Bobeł,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,10/7/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jarosław Grzywiński,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jarosław Jankowski,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Edyta Emilia Jordan,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Dariusz Jurkiewicz,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Magdalena Maruszczak,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",8/6/2206,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Alicja Milewska-Gojżewska,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Tomasz Mizikowski,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jolanta Okoniecka,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Filip Smakowski,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Olgierd Świerzewski,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,2006-05-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Krzysztof Weremczuk,"Kancelaria Radców Prawnych DLA Łukowicz Świerzewski i Wspólnicy (Łukowicz, Świerzewski i Wspólnicy, Kancelaria Radców Prawnych Spółka Komandytowa, część grupy DLA Piper Group)",12/6/2006,22/8/2006,"Działanie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonalną interwencję wnioskodawcy na rzecz poprawy życia społecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
48,Kancelaria Radcy Prawnego Maria Nogaj,2006-05-19,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Marek Macner,2006-06-09,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PPHU Moritz Marek Różycki,2006-06-09,Nie,Nie dotyczy,"Ministerstwo Infrastruktury i Budownictwa, Ministerstwo Finansów",Nie,,,,,,,,,1,,,,,,,,,1,,,,,,,,
51,Daz Press,2006-06-20,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"D.M.P. – Doradztwo, Marketing, PR",2006-06-24,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
53,EBC Partners Sp. z o.o.,2006-06-21,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sensors Sp. z o.o.,2006-07-23,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Grzegorz Betka,2006-06-27,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Investin Sp. z o.o.,2006-07-07,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Krzysztof Kamalski Adwokat Kancelaria Adwokacka,2006-06-29,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Domański Zakrzewski Palinka Spółka komandytowa,2006-11-07,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnętrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Tomasz Zalasiński,AVIVA Powszechne Towarzystwo Emerytalne AVIVA BZ WBK S.A.,8/7/2009,28/8/2009,Ustawa o organizacji i funkcjonowaniu funduszy emerytalnych,1,,,1,,,,,1,,,,,,,1,,,,,
58,Domański Zakrzewski Palinka Spółka komandytowa,2006-11-07,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnętrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Piotr Gołaszewski,"Wanda Gawrońska, Jaś Gawroński, Alfred Gawroński, Giovanna Gawrońska, Maria Grazia Gawrońska-Salviati, Helena Giorgia O'Meara",28/7/2011,21/9/2011,Zapewnienie właściwej ochrony majątku Skarbu Państwa RP właściciela gruntu; zapobiegnięcie bezprecedensowej próbie nieodpłatnego i wrogiego przejęcia nieruchomości należących do Skarbu Państwa RP i obywateli polskich w drodze zasiedzenia przez Republikę Serbii; (...); realizacja konstytucyjnego obowiązku ochrony praw majątkowych Skarbu Państwa i obywateli polskich; (...); ochrona bezpieczeństwa państwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomości,1,,,,1,,,,,,,,,,,1,,,,,
58,Domański Zakrzewski Palinka Spółka komandytowa,2006-11-07,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnętrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Paweł Siwerski,"Wanda Gawrońska, Jaś Gawroński, Alfred Gawroński, Giovanna Gawrońska, Maria Grazia Gawrońska-Salviati, Helena Giorgia O'Meara",28/7/2011,21/9/2011,Zapewnienie właściwej ochrony majątku Skarbu Państwa RP właściciela gruntu; zapobiegnięcie bezprecedensowej próbie nieodpłatnego i wrogiego przejęcia nieruchomości należących do Skarbu Państwa RP i obywateli polskich w drodze zasiedzenia przez Republikę Serbii; (...); realizacja konstytucyjnego obowiązku ochrony praw majątkowych Skarbu Państwa i obywateli polskich; (...); ochrona bezpieczeństwa państwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomości,1,,,,1,,,,,,,,,,,1,,,,,
58,Domański Zakrzewski Palinka Spółka komandytowa,2006-11-07,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnętrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Lech Żyżylewski,"Wanda Gawrońska, Jaś Gawroński, Alfred Gawroński, Giovanna Gawrońska, Maria Grazia Gawrońska-Salviati, Helena Giorgia O'Meara",28/7/2011,21/9/2011,Zapewnienie właściwej ochrony majątku Skarbu Państwa RP właściciela gruntu; zapobiegnięcie bezprecedensowej próbie nieodpłatnego i wrogiego przejęcia nieruchomości należących do Skarbu Państwa RP i obywateli polskich w drodze zasiedzenia przez Republikę Serbii; (...); realizacja konstytucyjnego obowiązku ochrony praw majątkowych Skarbu Państwa i obywateli polskich; (...); ochrona bezpieczeństwa państwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomości,1,,,,1,,,,,,,,,,,1,,,,,
59,Zbigniew Naklicki,2006-07-13,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zbigniew Naklicki,"LOBIS S.A. - Organizacja Odzysku; Fundacja EMTC-Poland; Fundacja Rozwoju Eko-Przedsiębiorczości ""EcoP""; Akcjonariat Organizacji Ozdysku i Recyklingu REBIS S.A.",6/10/2008,4/12/2008,"Prawo ochrony środowiska, prawo podatkowe i upadłościowe, działalność gospodarcza, prawo energetyczne, prawo budowlane-świadectwa energetyczne",,,,1,1,,,1,,,,,,,,,,,,,
59,Zbigniew Naklicki,2006-07-13,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zbigniew Naklicki,"ECO-SYSTEM Organizacja Odzysku S.A., Etron Sp. z o.o., Ecor Sp. z o.o.",27/11/2012,31/12/2012,Regulacje dotyczące gospodarki odpadami i ochrony środowiska,,,,,,,,1,,,,,,,,,,,,,
60,Krajowa Izba Gospodarki Morskiej,2006-07-21,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Międzynarodowe Centrum Szkolenia i Doradztwa Sp. z o.o.,2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzisława Bielak,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",1/2/2007,5/3/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zygmunt Bronisław Korzeniewski,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowe",1/2/2007,5/3/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jacek Pawlik,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",1/2/2007,5/3/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzisława Bielak,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",5/3/2007,20/5/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zygmunt Bronisław Korzeniewski,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowe",5/3/2007,20/5/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jacek Pawlik,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",5/3/2007,20/5/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzisława Bielak,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",5/7/2007,25/9/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zygmunt Bronisław Korzeniewski,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowe",5/7/2007,25/9/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",2006-07-25,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jacek Pawlik,"członkowie zwyczajni Stowarzyszenia Biegłych Rewidentów, Księgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz członkowie wspierający Stowarzyszenie - podmioty uprawnione do badania sprawozdań finansowych i podmioty doradztwa podatkowego",5/7/2007,25/9/2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorządowe. Prawo Podatkowe. Rachunkowość ,,,,1,,,,,,,,,,1,,,,,,,
63,CMS Cameron McKenna Dariusz Greszta Spółka komandytowa,2006-07-28,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Marcin Zimny,Stowarzyszenie Przemysłu Wapienniczego,5/3/2007,26/5/2007,"Ochrona konkurencyjności przemysłu wapienniczego i miejsc pracy w tej gałęzi przemysłu oraz innych, w których olej opałowy jest używany w procesach produkcyjnych, a nie do ogrzewania powierzchni bytowych",,,,1,,,,,,,,,,1,,,,,,,
63,CMS Cameron McKenna Dariusz Greszta Spółka komandytowa,2006-07-28,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Irmina Kotiuk,Stowarzyszenie Pracodawców i Pracowników Firm Bukmacherskich zrzeszające: Fortuna Zakłady Bukmacherskie Sp. z o.o.; Star-Typ-Sport Sp. z o.o.; Wzajemne Zakłady Bukmacherskie Milenium Sp. z o.o.; Tipsport pl Sp. z o.o.; Betako Sp. z o.o.,16/11/2009,2/2/2010,"Interesy i postulaty popierane przez Stowarzyszenie Pracodawców i Pracowników Firm Bukmacherskich, w zakresie prac legislacyjnych związanych z projektem ustawy o grach hazardowych",,,,1,,,,,,,,,,,,,,1,,,
63,CMS Cameron McKenna Dariusz Greszta Spółka komandytowa,2006-07-28,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Tomasz Manicki,Stowarzyszenie Pracodawców i Pracowników Firm Bukmacherskich zrzeszające: Fortuna Zakłady Bukmacherskie Sp. z o.o.; Star-Typ-Sport Sp. z o.o.; Wzajemne Zakłady Bukmacherskie Milenium Sp. z o.o.; Tipsport pl Sp. z o.o.; Betako Sp. z o.o.,16/11/2009,2/2/2010,"Interesy i postulaty popierane przez Stowarzyszenie Pracodawców i Pracowników Firm Bukmacherskich, w zakresie prac legislacyjnych związanych z projektem ustawy o grach hazardowych",,,,1,,,,,,,,,,,,,,1,,,
63,CMS Cameron McKenna Dariusz Greszta Spółka komandytowa,2006-07-28,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Ewa Duszyńska,Nutricia Polska Sp. z o.o.,6/4/2011,5/7/2011,"Ustawa o refundacji leków, środków spożywczych specjalnego przeznaczenia żywieniowego i wyrobów medycznych",,,,,,,,,,1,,,,,,,,,,,
64,Fundacja  Akademia Transportu,2006-08-01,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mecenart B. Witucki,2006-08-28,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Biuro Doradcze  RES,2006-09-07,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kancelaria Prawna  J. Chałas i Wspólnicy  Spółka komandytowa,2006-09-08,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Olga Naklicka,2006-09-11,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Tadeusz Krężel,2006-09-19,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Taduesz Krężel,Carmen Elena Badea,21/1/2010,7/4/2010,Liberalizacja przepisów dotyczących cudzoziemców i obywateli UE - w zakresie długości pobytu w Polsce i nabywania nieruchomości,1,,,,,,,,,,,,,,,,,,,,
