id,entityName,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,firmy zainteresowane problematyk¹ e-administracji i e-gospodarki,25-8-2006,22-11-2006,Problematyka e-gospodarki i e-administracji,1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,firmy informatyczne np. TICONS Sp. z o.o.,12-12-2006,27-2-2007,Promocja rozwi¹zañ dot. nowoczesnych narzêdzi tzw. e-Gospodarki (e-Commerce) i e-Administracji (e_Goverment) up. TICONS Sp. z o.o. ,1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o. w Warszawie; inne firmy i organizacje o podobnym profilu i przedmiocie dzia³ania,9-3-2007,6-6-2007,"Promocja rozwi¹zañ elektronicznej gospodarki, e-administracji, bezgotówkowych systemów p³atnoœci itd. m.in. na rzecz firmy TiCons ",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o. w Warszawie oraz inne firmy o podobnym profilu dzia³ania,11-12-2007,10-3-2008,"Promocja e-gospodarki, e-administracji, e-zdrowia, obrotu bezgotówkowego, e-handlu, elektronicznych systemów identyfikacyjnych, w tym na rzecz firmy TiCons sp. z o.o.",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,31-3-2008,26-6-2008,"Promocja nowoczesnych rozwi¹zañ informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia i innych, w tym na rzecz firmy TiCons",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,5-11-2008,2-2-2009,"Promocja rozwi¹zañ s³u¿¹cych elektronizacji obrotu gospodarczego i administracyjnego w zakresie e-gospodarki, e-administracji, e-zdrowia oraz rozwoju obrotu bezgotówkowego w Polsce, w tym na rzecz firmy TiCons",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,12-3-2009,8-6-2009,"Promocja obrotu bezgotówkowego, elektronicznej gospodarki, e-administracji, e-zdrowia, systemów kartowych itp. m.in. na rzecz firmy TiCons",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,5-10-2009,1-1-2010,"Promocja e-gospodarki, e-administracji, e-zdrowia, elektroniczna identyfikacja z wykorzystaniem nowoczesnych technologii informatycznych na rzecz m.in. firmy TiCons",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,9-2-2010,2-5-2010,"Lobbing na rzecz e-administracji, e-gospodarki, e-zdrowia, elektronicznej identyfikacji, obrotu bezgotówkowego, na rzecz takich firm jak TiCons i im podobnych",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o. i firm o podobnym profilu,1-6-2010,30-8-2010,"Promocja e-gospodarki, e-zdrowia, e-administracji, obrotu bezgotówkowego, elektronicznej identyfikacji m.in. na rzecz Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,m.in. Trusted Information Consulting Sp. z o.o.,22-9-2010,19-12-2010,"Promocja elektronicznych rozwi¹zañ informatycznych w odniesieniu do e-gospodarki, e-administracji, e-zdrowia itp. m.in. na rzecz firmy Trusted Information Consulting",1,1,,,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.; Allami Nyomda,18-1-2011,10-4-2011,"Promocja nowoczesnych rozwi¹zañ informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego,bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczenia dokumentów identyfikacyjnych m.in. na rzecz firmy Trusted Information Consulting i Allami Nyomda",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.; Allami Nyomda,19-4-2011,13-7-2011,"Promocja nowoczesnych rozwi¹zañ informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego,bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów osobistych, m.in. na rzecz firmy Trusted Information Consulting oraz Allami Nyomda",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting Sp. z o.o.,23-9-2011,31-12-2011,"Promocja nowoczesnych rozwi¹zañ informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego,bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów identyfikacyjnych, m.in. na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting,2-1-2015,31-12-2015,"Dzia³ania konsultingowe, promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwi¹zañ IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting,15-1-2016,31-12-2016,"Dzia³ania konsultingowe, promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwi¹zañ IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów identyfikacyjnych",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting,18-1-2018,31-12-2018,"Dzia³ania na rzecz nowoczesnych rozwi¹zañ informatycznych w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting.",1,1,,1,,,,,,,,,,,,,,,,,
44,Medien Service,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Tak,S³awomir Cieœliñski,Trusted Information Consulting,21-2-2017,31-12-2017,"Dzia³ania konsultingowe,promocyjne i lobbingowe na rzecz promocji nowoczesnych rozwi¹zañ IT w zakresie e-gospodarki, e-administracji, e-zdrowia, podpisu elektronicznego, obrotu bezgotówkowego, bezpieczeñstwa rozwi¹zañ informatycznych, zabezpieczeñ dokumentów identyfikacyjnych, w tym na rzecz firmy Trusted Information Consulting",1,1,,1,,,,,,,,,,,,,,,,,
45,Izba Gospodarcza Energetyki I Ochrony Œrodowiska,Nie,Nie dotyczy,Ministerstwo Spraw Wewnêtrznych i Administracji,Nie,,,,,,1,,,,,,,,,,,,,,,,,,,,
46,Towarzystwo Gospodarcze Polskie Elektrownie,Nie,Nie dotyczy,"Ministerstwo Finansów, Ministerstwo Œrodowiska",Nie,,,,,,,,,1,,,,1,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,£ukasz Bobe³,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,10-7-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jaros³aw Grzywiñski,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jaros³aw Jankowski,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Edyta Emilia Jordan,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Dariusz Jurkiewicz,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Magdalena Maruszczak,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",8-6-2206,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Alicja Milewska-Goj¿ewska,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Tomasz Mizikowski,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jolanta Okoniecka,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Filip Smakowski,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Olgierd Œwierzewski,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
47,Magdalena Maruszczak,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Krzysztof Weremczuk,"Kancelaria Radców Prawnych DLA £ukowicz Œwierzewski i Wspólnicy (£ukowicz, Œwierzewski i Wspólnicy, Kancelaria Radców Prawnych Spó³ka Komandytowa, czêœæ grupy DLA Piper Group)",12-6-2006,22-8-2006,"Dzia³anie na rzecz ""Dobrego Prawa"" w Polsce, które rozumiemy jako racjonaln¹ interwencjê wnioskodawcy na rzecz poprawy ¿ycia spo³ecznego i gospodarczego w Polsce",,,1,,,,,,,,,,,,,,,,,,
48,Kancelaria Radcy Prawnego Maria Nogaj,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Marek Macner,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PPHU Moritz Marek Ró¿ycki,Nie,Nie dotyczy,"Ministerstwo Infrastruktury i Budownictwa, Ministerstwo Finansów",Nie,,,,,,,,,1,,,,,,,,,1,,,,,,,,
51,Daz Press,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"D.M.P. – Doradztwo, Marketing, PR",Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
53,EBC Partners Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sensors Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Grzegorz Betka,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Investin Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Krzysztof Kamalski Adwokat Kancelaria Adwokacka,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Domañski Zakrzewski Palinka Spó³ka komandytowa,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnêtrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Tomasz Zalasiñski,AVIVA Powszechne Towarzystwo Emerytalne AVIVA BZ WBK S.A.,8-7-2009,28-8-2009,Ustawa o organizacji i funkcjonowaniu funduszy emerytalnych,1,,,1,,,,,1,,,,,,,1,,,,,
58,Domañski Zakrzewski Palinka Spó³ka komandytowa,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnêtrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Piotr Go³aszewski,"Wanda Gawroñska, Jaœ Gawroñski, Alfred Gawroñski, Giovanna Gawroñska, Maria Grazia Gawroñska-Salviati, Helena Giorgia O'Meara",28-7-2011,21-9-2011,Zapewnienie w³aœciwej ochrony maj¹tku Skarbu Pañstwa RP w³aœciciela gruntu; zapobiegniêcie bezprecedensowej próbie nieodp³atnego i wrogiego przejêcia nieruchomoœci nale¿¹cych do Skarbu Pañstwa RP i obywateli polskich w drodze zasiedzenia przez Republikê Serbii; (...); realizacja konstytucyjnego obowi¹zku ochrony praw maj¹tkowych Skarbu Pañstwa i obywateli polskich; (...); ochrona bezpieczeñstwa pañstwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomoœci,1,,,,1,,,,,,,,,,,1,,,,,
58,Domañski Zakrzewski Palinka Spó³ka komandytowa,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnêtrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Pawe³ Siwerski,"Wanda Gawroñska, Jaœ Gawroñski, Alfred Gawroñski, Giovanna Gawroñska, Maria Grazia Gawroñska-Salviati, Helena Giorgia O'Meara",28-7-2011,21-9-2011,Zapewnienie w³aœciwej ochrony maj¹tku Skarbu Pañstwa RP w³aœciciela gruntu; zapobiegniêcie bezprecedensowej próbie nieodp³atnego i wrogiego przejêcia nieruchomoœci nale¿¹cych do Skarbu Pañstwa RP i obywateli polskich w drodze zasiedzenia przez Republikê Serbii; (...); realizacja konstytucyjnego obowi¹zku ochrony praw maj¹tkowych Skarbu Pañstwa i obywateli polskich; (...); ochrona bezpieczeñstwa pañstwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomoœci,1,,,,1,,,,,,,,,,,1,,,,,
58,Domañski Zakrzewski Palinka Spó³ka komandytowa,Nie,Nie dotyczy,"Ministerstwo Spraw Wewnêtrznych i Administracji, Ministerstwo Spraw Zagranicznych",Tak,Lech ¯y¿ylewski,"Wanda Gawroñska, Jaœ Gawroñski, Alfred Gawroñski, Giovanna Gawroñska, Maria Grazia Gawroñska-Salviati, Helena Giorgia O'Meara",28-7-2011,21-9-2011,Zapewnienie w³aœciwej ochrony maj¹tku Skarbu Pañstwa RP w³aœciciela gruntu; zapobiegniêcie bezprecedensowej próbie nieodp³atnego i wrogiego przejêcia nieruchomoœci nale¿¹cych do Skarbu Pañstwa RP i obywateli polskich w drodze zasiedzenia przez Republikê Serbii; (...); realizacja konstytucyjnego obowi¹zku ochrony praw maj¹tkowych Skarbu Pañstwa i obywateli polskich; (...); ochrona bezpieczeñstwa pañstwa; ochrona kultury i dziedzictwa narodowego poprzez niedopuszczenie do dalszej dewastacji i zniszczenia zabytkowych nieruchomoœci,1,,,,1,,,,,,,,,,,1,,,,,
59,Zbigniew Naklicki,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zbigniew Naklicki,"LOBIS S.A. - Organizacja Odzysku; Fundacja EMTC-Poland; Fundacja Rozwoju Eko-Przedsiêbiorczoœci ""EcoP""; Akcjonariat Organizacji Ozdysku i Recyklingu REBIS S.A.",6-10-2008,4-12-2008,"Prawo ochrony œrodowiska, prawo podatkowe i upad³oœciowe, dzia³alnoœæ gospodarcza, prawo energetyczne, prawo budowlane-œwiadectwa energetyczne",,,,1,1,,,1,,,,,,,,,,,,,
59,Zbigniew Naklicki,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zbigniew Naklicki,"ECO-SYSTEM Organizacja Odzysku S.A., Etron Sp. z o.o., Ecor Sp. z o.o.",27-11-2012,31-12-2012,Regulacje dotycz¹ce gospodarki odpadami i ochrony œrodowiska,,,,,,,,1,,,,,,,,,,,,,
60,Krajowa Izba Gospodarki Morskiej,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Miêdzynarodowe Centrum Szkolenia i Doradztwa Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzis³awa Bielak,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowego",1-2-2007,5-3-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zygmunt Bronis³aw Korzeniewski,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowe",1-2-2007,5-3-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jacek Pawlik,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowego",1-2-2007,5-3-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzis³awa Bielak,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowego",5-3-2007,20-5-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Zygmunt Bronis³aw Korzeniewski,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowe",5-3-2007,20-5-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Jacek Pawlik,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowego",5-3-2007,20-5-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
62,"Stowarzyszenie Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów  Libertas",Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Janina Zdzis³awa Bielak,"cz³onkowie zwyczajni Stowarzyszenia Bieg³ych Rewidentów, Ksiêgowych, Doradców Podatkowych, Prawników i Ekonomistów ""Libertas"" oraz cz³onkowie wspieraj¹cy Stowarzyszenie - podmioty uprawnione do badania sprawozdañ finansowych i podmioty doradztwa podatkowego",5-7-2007,25-9-2007,Wprowadzenie dyrektywy europejskiej 206/43/WE Parlamentu Europejskiego i Rady z 17 maja 2006r. do prawa polskiego. Prawo Samorz¹dowe. Prawo Podatkowe. Rachunkowoœæ ,,,,1,,,,,,,,,,1,,,,,,,
